 INFO file_name: C:/dev/visualStudio/transpiler/Vandior/input.vn
 INFO Tokens:
 INFO (typ: IDENT, sl: (ln: 59, cln: 3))
 INFO (typ: OPEN_PAR, sl: (ln: 59, cln: 10))
 INFO (typ: STR, val: 'Pari', sl: (ln: 59, cln: 11))
 INFO (typ: CLOSE_PAR, sl: (ln: 59, cln: 17))
 INFO (typ: CLOSE_CUR_PAR, sl: (ln: 60, cln: 2))
 INFO (typ: K_ELSE, sl: (ln: 60, cln: 4))
 INFO (typ: K_IF, sl: (ln: 60, cln: 9))
 INFO (typ: OPEN_PAR, sl: (ln: 60, cln: 11))
 INFO (typ: IDENT, sl: (ln: 60, cln: 12))
 INFO (typ: EQUAL_OP, sl: (ln: 60, cln: 16))
 INFO (typ: EQUAL_OP, sl: (ln: 60, cln: 17))
 INFO (typ: INT, sl: (ln: 60, cln: 19))
 INFO (typ: CLOSE_PAR, sl: (ln: 60, cln: 20))
 INFO (typ: OPEN_CUR_PAR, sl: (ln: 60, cln: 22))
 INFO (typ: IDENT, sl: (ln: 61, cln: 3))
 INFO (typ: OPEN_PAR, sl: (ln: 61, cln: 10))
 INFO (typ: STR, val: '1', sl: (ln: 61, cln: 11))
 INFO (typ: CLOSE_PAR, sl: (ln: 61, cln: 14))
